date,BBL.BK,KBANK.BK,KKP.BK,KTB.BK,SCB.BK,TISCO.BK,TTB.BK,XLF,EUFN,USDTHB=X,^SET.BK
2022-07-29,108.34143829345705,115.0958480834961,50.40755462646485,12.450719833374023,72.98875427246094,64.84957122802734,0.9341590404510498,31.592988967895508,13.265564918518066,36.3849983215332,1576.4100341796875
2022-08-05,109.56793212890624,115.8841781616211,51.36587142944336,12.52902603149414,74.42694854736328,65.58232879638672,0.91080504655838,31.57425117492676,13.424182891845703,35.81999969482422,1601.0899658203125
2022-08-12,111.20328521728516,117.4608383178711,51.55753707885742,12.685640335083008,75.50560760498047,65.94872283935547,0.9341590404510498,33.32681655883789,13.966827392578123,35.20000076293945,1622.260009765625
2022-08-19,111.61211395263672,121.40247344970705,52.51585388183594,12.685640335083008,75.50560760498047,67.78062438964844,0.9419437050819396,32.764495849609375,13.20712661743164,35.630001068115234,1625.9200439453125
2022-08-26,112.83863830566406,123.7674331665039,54.4324951171875,12.998865127563477,79.46066284179688,68.14701080322266,0.9964362978935242,31.602367401123047,12.622739791870115,35.810001373291016,1644.780029296875
2022-09-02,111.61211395263672,119.82581329345705,54.2408332824707,12.842251777648926,78.38201141357422,67.78062438964844,0.9808668494224548,30.82449531555176,12.489166259765623,36.76800155639648,1622.1500244140625
2022-09-09,111.19422912597656,117.85107421875,55.01713943481445,13.155476570129396,80.17977142333984,67.78062438964844,0.9966874718666076,32.20218276977539,13.173730850219728,36.40999984741211,1654.6199951171875
2022-09-16,110.7808609008789,117.06013488769533,54.6241569519043,13.155476570129396,75.50560760498047,68.69657897949219,0.9966874718666076,30.983816146850582,13.190427780151367,36.93999862670898,1630.4000244140625
2022-09-23,116.15457916259766,119.8284149169922,55.80309677124024,13.233782768249512,78.0224609375,69.24615478515625,1.0045976638793943,29.253124237060547,12.105141639709473,37.369998931884766,1631.7099609375
2022-09-30,112.84767150878906,113.8963394165039,54.0346908569336,13.077171325683594,74.7864990234375,67.96381378173828,0.9571362733840942,28.60305404663086,11.61258602142334,37.86199951171875,1589.510009765625
2022-10-07,114.0877685546875,113.10539245605467,54.0346908569336,13.233782768249512,75.50560760498047,68.87977600097656,0.9650467038154602,29.10238265991211,11.754509925842283,37.32799911499024,1579.6600341796875
2022-10-14,113.67440032958984,113.8963394165039,53.83819580078125,13.077171325683594,75.15663146972656,68.69657897949219,0.9571362733840942,29.215436935424805,11.704419136047363,38.02000045776367,1560.780029296875
2022-10-21,117.39466857910156,115.4782257080078,56.39256286621094,13.468704223632812,77.34566497802734,69.97891235351562,1.0204179286956787,30.327152252197266,12.447422981262209,38.20000076293945,1591.3199462890625
2022-10-28,119.04811096191406,112.7099151611328,56.58905029296875,13.625314712524414,76.9808349609375,69.79572296142578,1.0678794384002686,32.21141052246094,12.85649299621582,37.790000915527344,1606.0699462890625
2022-11-04,120.28817749023438,117.45560455322266,57.37501525878906,13.703621864318848,78.0753402709961,71.07806396484375,1.0836999416351318,31.94761085510254,13.182079315185549,38.012001037597656,1626.3199462890625
2022-11-11,120.28817749023438,117.06013488769533,56.982032775878906,13.860234260559082,77.71050262451172,71.4444351196289,1.0757895708084106,33.794189453125,14.150493621826172,36.15999984741211,1637.2900390625
