date,BBL.BK,EUFN,KBANK.BK,KKP.BK,KTB.BK,SCB.BK,TISCO.BK,TTB.BK,USDTHB=X,XLF,^SET.BK
2022-07-12,107.11493682861328,12.572649955749512,115.49002838134766,47.340938568115234,11.667654991149902,71.91009521484375,63.56723403930664,0.8952357172966003,36.231998443603516,29.634248733520508,1546.800048828125
2022-07-13,,12.52255916595459,,,,,,,36.19599914550781,29.37183380126953,
2022-07-14,103.84424591064453,12.130184173583984,113.91336059570312,46.957611083984375,11.43273639678955,68.3145980834961,63.200843811035156,0.8718817830085754,36.231998443603516,28.80951690673828,1536.8199462890625
2022-07-15,103.84424591064453,12.28880500793457,110.36589050292969,46.57427978515625,11.354429244995117,67.59549713134766,63.56723403930664,0.8718817830085754,36.529998779296875,29.784196853637695,1533.3699951171875
2022-07-18,105.07073974609375,12.447423934936523,111.15421295166016,47.340938568115234,11.589348793029785,68.49437713623047,63.933616638183594,0.8952357172966003,36.560001373291016,29.671735763549805,1544.81005859375
2022-07-19,105.07073974609375,12.931628227233887,109.57756042480469,46.76594543457031,11.589348793029785,65.61796569824219,63.3840446472168,0.8796665072441101,36.689998626708984,30.562074661254883,1533.4300537109375
2022-07-20,103.84424591064453,12.639437675476074,109.97172546386719,46.38261795043945,11.511042594909668,65.2584228515625,63.3840446472168,0.887451171875,36.573001861572266,30.674545288085938,1539.3199462890625
2022-07-21,106.70610046386719,12.87319278717041,110.76004791259766,48.29925537109375,11.745962142944336,67.59549713134766,64.6663818359375,0.91858971118927,36.665000915527344,30.871349334716797,1546.31005859375
2022-07-22,107.52375793457031,12.706222534179688,110.36589050292969,48.29925537109375,12.137494087219238,69.75279998779297,64.29999542236328,0.9108049273490906,36.75199890136719,30.693281173706055,1552.72998046875
2022-07-25,108.34144592285156,12.948326110839844,112.73088073730469,49.640899658203125,12.450719833374023,73.34830474853516,65.03276062011719,0.934158980846405,36.638999938964844,30.89009666442871,1560.31005859375
2022-07-26,108.34144592285156,12.639437675476074,114.30753326416016,50.40755844116211,12.450719833374023,72.26966094970703,64.84957885742188,0.9263743162155151,36.65599822998047,30.458984375,1553.1800537109375
2022-07-27,108.34144592285156,12.956676483154297,115.09584045410156,50.40755844116211,12.450719833374023,72.9887466430664,64.84957885742188,0.934158980846405,36.698001861572266,30.927583694458008,1576.4100341796875
2022-07-28,,13.015113830566406,,,,,,,36.637001037597656,31.15252113342285,
2022-07-29,,13.265565872192383,,,,,,,36.3849983215332,31.592992782592773,
2022-08-01,107.93260192871094,13.298956871032715,114.30753326416016,50.02423095703125,12.372413635253906,71.91009521484375,65.39913177490234,0.9263743162155151,36.292999267578125,31.33057403564453,1593.239990234375
2022-08-02,107.93260192871094,13.056855201721191,114.30753326416016,49.83256530761719,12.372413635253906,72.26966094970703,65.58233642578125,0.9108049273490906,36.10300064086914,30.98381805419922,1589.1600341796875
2022-08-03,107.52375793457031,13.340700149536133,114.30753326416016,49.83256530761719,12.294107437133789,72.26966094970703,65.21595764160156,0.9108049273490906,36.202999114990234,31.452407836914062,1594.72998046875
2022-08-04,107.93260192871094,13.432531356811523,114.30753326416016,49.257572174072266,12.294107437133789,72.62920379638672,65.21595764160156,0.9108049273490906,36.2400016784668,31.34932518005371,1598.75
2022-08-05,109.56793212890625,13.424182891845703,115.88418579101562,51.36587142944336,12.52902603149414,74.42696380615234,65.58233642578125,0.9108049273490906,35.81999969482422,31.574247360229492,1601.0899658203125
2022-08-08,110.79444885253906,13.490970611572266,117.85499572753906,51.94086456298828,12.607333183288574,76.94380187988281,65.39913177490234,0.9263743162155151,35.75,31.55550193786621,1608.8699951171875
2022-08-09,111.20329284667969,13.53271198272705,117.85499572753906,51.94086456298828,12.685640335083008,76.58425903320312,65.39913177490234,0.934158980846405,35.529998779296875,31.714834213256836,1618.800048828125
2022-08-10,111.20329284667969,13.816554069519043,117.4608383178711,51.94086456298828,12.52902603149414,75.14604949951172,65.94871520996094,0.9263743162155151,35.33000183105469,32.42710876464844,1617.2099609375
2022-08-11,111.20329284667969,13.841602325439453,117.4608383178711,51.55754089355469,12.685640335083008,75.50560760498047,65.94871520996094,0.934158980846405,35.31999969482422,32.81135559082031,1622.260009765625
2022-08-12,,13.966826438903809,,,,,,,35.20000076293945,33.32681655883789,
2022-08-15,111.20329284667969,13.75811767578125,119.43164825439453,52.13253402709961,12.920557975769043,76.2247085571289,66.68146514892578,0.934158980846405,35.29999923706055,33.31742858886719,1625.25
2022-08-16,111.61211395263672,13.791513442993164,119.43164825439453,52.32419967651367,12.763944625854492,76.2247085571289,66.68146514892578,0.9263743162155151,35.53900146484375,33.561119079589844,1629.949951171875
2022-08-17,112.42979431152344,13.59950065612793,121.4024887084961,52.707523345947266,12.763944625854492,77.66291046142578,67.2310562133789,0.9497284293174744,35.37300109863281,33.392417907714844,1639.719970703125
2022-08-18,112.02095794677734,13.50766658782959,121.4024887084961,52.51585388183594,12.763944625854492,77.66291046142578,67.41423797607422,0.9497284293174744,35.47999954223633,33.429901123046875,1636.0699462890625
2022-08-19,111.61211395263672,13.207125663757324,121.4024887084961,52.51585388183594,12.685640335083008,75.50560760498047,67.78062438964844,0.9419437646865845,35.630001068115234,32.76449203491211,1625.9200439453125
2022-08-22,110.3855972290039,12.898235321044922,121.00830841064453,52.51585388183594,12.607333183288574,74.42696380615234,67.2310562133789,0.934158980846405,35.78499984741211,32.04285430908203,1615.8199462890625
